step,ep,score(50),best,loss,eps
330000,2853,6.96,43,0.560460257618688,0.01
332000,2856,7.18,43,0.8765972143132239,0.01
334000,2861,6.54,43,0.8700470970431343,0.01
336000,2861,6.54,43,0.7615916086011566,0.01
338000,2863,6.4,43,0.6245268325321376,0.01
340000,2863,6.4,43,0.7478825367172248,0.01
342000,2864,6.8,43,0.4326412387681194,0.01
344000,2868,6.74,43,0.6731782442796975,0.01
346000,2869,6.54,43,0.5716095491382294,0.01
348000,2871,6.72,43,0.7724648052360863,0.01
350000,2871,6.72,43,0.602404922482092,0.01
352000,2876,7.22,43,0.5077115302113816,0.01
354000,2877,7.36,43,0.7847426464757882,0.01
356000,2878,7.62,43,0.5200720455590635,0.01
358000,2881,7.62,43,0.8535641345661134,0.01
360000,2882,7.84,43,0.5738291724119335,0.01
362000,2884,8.3,43,0.24601871234131978,0.01
364000,2886,7.84,43,0.6558090224093758,0.01
366000,2888,7.54,43,0.6838045255187899,0.01
368000,2892,7.16,43,0.8733601644006558,0.01
370000,2893,7.18,43,0.6143705038772896,0.01
372000,2896,7.52,43,0.6629942822898738,0.01
374000,2900,7.54,43,0.5088015768514015,0.01
376000,2901,7.5,43,0.43812644087243824,0.01
378000,2901,7.5,43,0.5075711440155283,0.01
380000,2908,7.68,43,0.6562316243629902,0.01
382000,2912,7.24,43,0.6525727666029707,0.01
384000,2915,6.56,43,0.699778092559427,0.01
386000,2917,6.9,43,0.9960562833235599,0.01
388000,2922,5.96,43,0.9093028465099633,0.01
390000,2923,6.0,43,0.8634997303481213,0.01
392000,2927,6.2,43,0.5769805352622643,0.01
394000,2932,5.56,43,0.6113904064125382,0.01
396000,2935,5.28,43,0.39043626746162774,0.01
398000,2939,4.92,43,0.7527216530428268,0.01
400000,2949,3.92,43,0.7785712428065017,0.01
402000,2950,4.04,43,0.981763063101098,0.01
404000,2952,3.64,43,0.7306277428381145,0.01
406000,2957,3.76,43,0.9353495852695778,0.01
408000,2965,3.48,43,0.8157123679178767,0.01
410000,2966,3.36,43,1.1559381503448822,0.01
412000,2968,3.4,43,0.9334595873486251,0.01
414000,2974,3.08,43,0.5547147521772422,0.01
416000,2975,3.1,43,0.3919014100590721,0.01
418000,2976,3.56,43,0.4612940171477385,0.01
420000,2979,3.94,43,0.6610997987387236,0.01
422000,2980,3.94,43,0.8311844656267203,0.01
424000,2980,3.94,43,0.6476579736033454,0.01
426000,2982,4.8,43,0.6668746320530772,0.01
428000,2985,4.6,43,0.8778758464567363,0.01
430000,2991,4.62,43,0.8206546859443188,0.01
432000,2993,4.94,43,0.6168443694408051,0.01
434000,2997,5.22,43,0.7025257317116484,0.01
436000,3000,5.28,43,0.5931541978195309,0.01
438000,3005,4.96,43,0.8695338593516498,0.01
440000,3006,5.32,43,0.948742390787229,0.01
442000,3013,5.34,43,0.9673368856310844,0.01
444000,3016,5.52,43,0.9395511306612753,0.01
446000,3017,5.22,43,0.6534161435300484,0.01
448000,3021,5.46,43,0.7767753761587665,0.01
450000,3026,5.06,43,0.8470979611482471,0.01
452000,3030,4.84,43,0.4855145205464214,0.01
454000,3033,4.1,43,1.0719835751550273,0.01
456000,3037,3.96,43,0.7972016585059464,0.01
458000,3037,3.96,43,1.0425564022315665,0.01
460000,3042,4.3,43,0.5216650859173387,0.01
462000,3045,4.2,43,0.478377351318486,0.01
464000,3052,3.94,43,1.0018671516561881,0.01
466000,3058,3.72,43,1.100289001185447,0.01
468000,3067,3.3,43,1.0276871335692703,0.01
